S.No,AppTag,LOB,AuthReq,ImmediateTxf,ClarfierQuestion,NextAction,Onboarding Eligible
187,balance-request,SHARED_MM_FARMERSERVICE,Y,N,NA,BILLING_PAYMENT ,Y
188,balance-request,FARMER_SALES_FARMER_TRAINING,Y,N,NA,BILLING_PAYMENT ,Y
189,balance-request,FARMER_VANITY_VANITY,Y,N,NA,BILLING_PAYMENT ,Y
190,balance-request,SHARED_MM_HOMEOWNER,Y,N,NA,BILLING_PAYMENT ,Y
191,balance-request,21V,Y,N,NA,BILLING_PAYMENT ,Y
192,balance-request,21_VANITY_FF_AUTO_SERVICE,Y,N,NA,BILLING_PAYMENT ,Y
193,balance-request,21SV,Y,N,NA,BILLING_PAYMENT ,Y
194,balance-request,21SM,Y,N,NA,BILLING_PAYMENT ,Y
195,balance-request,SHARED_MAIN_MENU_FWS,Y,N,NA,BILLING_PAYMENT ,Y
196,billing-change,SHARED_MM_BW,Y,N,NA,TRANSFER,Y
197,billing-change,BW_PROD_BW,N,N,NA,OTHER_BILLING,Y
198,billing-change,FOREMOST_AGENT_FOREMOST,N,N,NA,FMST_BILLING,Y
199,billing-change,FARM_PL_FAS,N,N,NA,FAS_BILLING_MENU,Y
200,billing-change,SHARED_MM_FARMERSERVICE,Y,N,NA,TRANSFER,Y
201,billing-change,FARMER_SALES_FARMER_TRAINING,Y,N,NA,POLICY_CHANGE,Y
202,billing-change,FARMER_VANITY_VANITY,Y,N,NA,TRANSFER,Y
203,billing-change,SHARED_MM_HOMEOWNER,Y,N,NA,POLICY_CHANGE,Y
204,billing-change,21V,Y,N,NA,TRANSFER,Y
205,billing-change,21_VANITY_FF_AUTO_SERVICE,Y,N,NA,TRANSFER,Y
206,billing-change,21SV,Y,N,NA,TRANSFER,Y
207,billing-change,21SM,Y,N,NA,TRANSFER,Y
208,billing-change,SHARED_MAIN_MENU_FWS,Y,N,NA,TRANSFER,Y
209,billing-get_help,SHARED_MM_BW,Y,N,NA,TRANSFER,Y
210,billing-get_help,BW_PROD_BW,N,N,NA,OTHER_BILLING,Y
211,billing-get_help,FOREMOST_AGENT_FOREMOST,N,N,NA,FMST_BILLING,Y
212,billing-get_help,FARM_PL_FAS,N,N,NA,FAS_BILLING_MENU,Y
213,billing-get_help,SHARED_MM_FARMERSERVICE,Y,N,NA,TRANSFER,Y
214,billing-get_help,FARMER_SALES_FARMER_TRAINING,Y,N,NA,POLICY_CHANGE,Y
215,billing-get_help,FARMER_VANITY_VANITY,Y,N,NA,TRANSFER,Y
216,billing-get_help,SHARED_MM_HOMEOWNER,Y,N,NA,POLICY_CHANGE,Y
217,billing-get_help,21V,Y,N,NA,TRANSFER,Y
218,billing-get_help,21_VANITY_FF_AUTO_SERVICE,Y,N,NA,TRANSFER,Y
219,billing-get_help,21SV,Y,N,NA,TRANSFER,Y
220,billing-get_help,21SM,Y,N,NA,TRANSFER,Y
221,billing-get_help,SHARED_MAIN_MENU_FWS,Y,N,NA,TRANSFER,Y
222,billing-query,SHARED_MM_BW,Y,N,NA,BILLING_PAYMENT,Y
223,billing-query,BW_PROD_BW,N,N,NA,OTHER_BILLING,Y
224,billing-query,FOREMOST_AGENT_FOREMOST,N,N,NA,FMST_BILLING,Y
225,billing-query,FARM_PL_FAS,N,N,NA,FAS_POLICY_BILLING,Y
226,billing-query,SHARED_MM_FARMERSERVICE,Y,N,NA,BILLING_PAYMENT ,Y
227,billing-query,FARMER_SALES_FARMER_TRAINING,Y,N,NA,BILLING_PAYMENT ,Y
228,billing-query,FARMER_VANITY_VANITY,Y,N,NA,BILLING_PAYMENT ,Y
229,billing-query,SHARED_MM_HOMEOWNER,Y,N,NA,BILLING_PAYMENT ,Y
230,billing-query,21V,Y,N,NA,BILLING_PAYMENT ,Y
231,billing-query,21_VANITY_FF_AUTO_SERVICE,Y,N,NA,BILLING_PAYMENT ,Y
232,billing-query,21SV,Y,N,NA,BILLING_PAYMENT ,Y
