intentName,intentGroup,destinationTypeEnterprise,destinationEnterprise,destinationTypeBusiness,destinationBusiness,destinationTypeGovernment,destinationGovernment,closed_door_SS,wirelessSS,identifyEnterprise,identifyBusiness,identifyGovernment,specialIntent,authLevelEnterprise,authLevelBusiness,authLevelGovernment,repromptMenu_EN,repromptMenu_FR
Bus-Main-Ent-DA-billing-managed-services,Bus-Main-Ent-DA-billing-managed-services,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
Bus-Main-Ent-DA-billing-other,Bus-Main-Ent-DA-billing-other,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
Bus-Main-Ent-DA-billing-wireline,Bus-Main-Ent-DA-billing-wireline,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
Bus-Main-Ent-DA-ext,Bus-Main-Ent-DA-ext,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
Bus-Main-Ent-DA-sales,Bus-Main-Ent-DA-sales,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
Bus-Main-Ent-DA-smb,Bus-Main-Ent-DA-smb,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
Bus-Main-Ent-DA-techsupport-data-centre,Bus-Main-Ent-DA-techsupport-data-centre,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
Bus-Main-Ent-DA-techsupport-ent-internet,Bus-Main-Ent-DA-techsupport-ent-internet,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
Bus-Main-Ent-DA-techsupport-managed-services,Bus-Main-Ent-DA-techsupport-managed-services,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
Bus-Main-Ent-DA-techsupport-other,Bus-Main-Ent-DA-techsupport-other,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
Bus-Main-Ent-DA-techsupport-phone,Bus-Main-Ent-DA-techsupport-phone,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
Bus-Main-Ent-DA-techsupport-TPIA,Bus-Main-Ent-DA-techsupport-TPIA,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
Bus-Main-Ent-T2-advantage-voice,Bus-Main-Ent-T2-advantage-voice,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
Bus-Main-Ent-T2-IOT,Bus-Main-Ent-T2-IOT,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
Bus-Main-Ent-T2-O365,Bus-Main-Ent-T2-O365,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
Bus-Main-Ent-T2-smartphone,Bus-Main-Ent-T2-smartphone,Transfer,Transfer,Transfer,Transfer,Transfer,Transfer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,NONE,NONE,N/A,N/A
